s,C, C, m, Pa, 1 / m, 1 / m, kW, m, m, m ^ 2, m ^ 2,
Time,ULT_1,LLT_1,HGT_1,PRS_1,ULOD_1,LLOD_1,HRR_1,FLHGT_1,FBASE_1,FAREA_1,HVENT_1,
760,1135.6157754609,1012.82987723586,0.363030124521058,-5.87924403222807,7.84436941146851,1.3596442937851,2514.14041330376,3.35438827862351,0.3,2.25,1.52,
780,1138.16790304256,1015.50141897909,0.363010612328955,-5.88234798271237,7.76371479034424,1.34172713756561,2514.7286419379,3.35489225457919,0.3,2.25,1.52,
800,1140.562462887,1018.33828588851,0.362984927054439,-5.88544266381339,7.74504709243774,1.33657920360565,2515.16880881393,3.35526932957115,0.3,2.25,1.52,
820,1143.03997924181,1020.7755820029,0.36303972569033,-5.89513900722883,7.63849401473999,1.31822025775909,2520.20182505492,3.35957812015087,0.3,2.25,1.52,
840,1145.23171485503,1023.25210132225,0.362992763368718,-5.89540323552591,7.60591173171997,1.30870461463928,2519.01538055183,3.35856286445077,0.3,2.25,1.52,
860,1147.41181772906,1025.68149085868,0.362993406359027,-5.90002500790656,7.56351375579834,1.30027079582214,2520.76233903551,3.36005765937386,0.3,2.25,1.52,
880,1149.5983181762,1027.83460749893,0.363025544583815,-5.90677868479136,7.47197294235229,1.28360605239868,2524.13064829873,3.36293801868026,0.3,2.25,1.52,
900,1151.56175405007,1030.07890938951,0.362990072003684,-5.90797478648648,7.45222091674805,1.27756810188293,2523.57595414869,3.36246383896081,0.3,2.25,1.52,
920,1153.53444034157,1032.20472769898,0.362996909328231,-5.91261083711911,7.4047966003418,1.26848530769348,2525.48000057701,3.36409125010153,0.3,2.25,1.52,
940,1155.46214907135,1034.14510424297,0.363005615534969,-5.9169417672054,7.33803606033325,1.25547993183136,2527.31864081111,3.3656620592596,0.3,2.25,1.52,
960,1157.25712378192,1036.1763690054,0.362988324278794,-5.91922605150245,7.31422662734985,1.24978601932526,2527.69253572455,3.36598140574161,0.3,2.25,1.52,
980,1159.0470604493,1038.06356206201,0.362996371579079,-5.92352607457366,7.26707887649536,1.24083817005157,2529.50226139087,3.36752670571176,0.3,2.25,1.52,
1000,1160.77274992348,1039.83698289336,0.362994740568104,-5.92664760580938,7.21685981750488,1.2306307554245,2530.61354643746,3.36847528808677,0.3,2.25,1.52,
