s,C, C, m, Pa, 1 / m, 1 / m, kW, m, m, m ^ 2, m ^ 2,
Time,ULT_1,LLT_1,HGT_1,PRS_1,ULOD_1,LLOD_1,HRR_1,FLHGT_1,FBASE_1,FAREA_1,HVENT_1,
760,1135.61638970898,1012.83103671149,0.363030075018743,-5.8792392096031,7.84438943862915,1.3596431016922,2514.13708376552,3.3543854257776,0.3,2.25,1.52,
780,1138.16857568654,1015.50222035544,0.363010371121811,-5.88233654922654,7.76374483108521,1.34173190593719,2514.70475399752,3.35487178951455,0.3,2.25,1.52,
800,1140.56323130353,1018.33910262798,0.362985047360362,-5.88545659617267,7.74507522583008,1.3365889787674,2515.18034466329,3.35527921138228,0.3,2.25,1.52,
820,1143.04051400141,1020.77590967777,0.363039726780411,-5.89514125028099,7.63846349716187,1.31821060180664,2520.20378038907,3.35957979311852,0.3,2.25,1.52,
840,1145.23213789129,1023.25286325618,0.362992737408585,-5.89539916768923,7.60590410232544,1.30870032310486,2519.01428499743,3.35856192683831,0.3,2.25,1.52,
860,1147.41261039027,1025.68168661401,0.362993354010063,-5.90003787586992,7.56344747543335,1.30026757717133,2520.75258178925,3.36004931225721,0.3,2.25,1.52,
880,1149.59838899803,1027.83547596589,0.363025440309154,-5.90676070058936,7.47202920913696,1.28360593318939,2524.12589661572,3.36293395697447,0.3,2.25,1.52,
900,1151.56206217305,1030.07933737789,0.362990215505343,-5.90798124946741,7.45223522186279,1.2775684595108,2523.59097830041,3.36247668316527,0.3,2.25,1.52,
920,1153.53491689562,1032.20510295058,0.362997001392927,-5.91262376729016,7.40479755401611,1.26849055290222,2525.48801647594,3.36409809982932,0.3,2.25,1.52,
940,1155.462602214,1034.14592255673,0.363005656489021,-5.91694585888347,7.33805704116821,1.25548326969147,2527.32220558275,3.36566510409194,0.3,2.25,1.52,
960,1157.25748822841,1036.17705185914,0.362988286829272,-5.91922251838533,7.31423234939575,1.24978363513947,2527.6902122501,3.36597942133197,0.3,2.25,1.52,
980,1159.04741532557,1038.06448116434,0.362996463458065,-5.9235319373454,7.26708364486694,1.2408390045166,2529.5111002452,3.36753425146035,0.3,2.25,1.52,
1000,1160.77315863815,1039.83773455643,0.362994762553019,-5.92664695061658,7.21686172485352,1.23062884807587,2530.61753247321,3.36847869007919,0.3,2.25,1.52,
