"Material Description"
"Number of HRR Curves","03"
"Heat Flux",25
"Number of HRR Data Pairs",20
"sec,kw/m2"
0,30
.9,34.4
5.9,54.7
10.9,64.5
15.9,63.7
20.9,53.1
25.9,33.1
30.9,23.3
35.9,13.5
40.9,8.6
45.9,3.4
50.9,3.4
55.9,3.4
60.9,3.4
65.9,3.4
70.9,8.5
75.9,8.6
80.9,3.4
85.9,3.4
180,0
"Heat Flux",35
"Number of HRR Data Pairs",27
"sec,kw/m2"
0,30
1.8,44.4
6.8,95.3
11.8,104.7
16.8,91.6
21.8,76.4
26.8,62.1
31.8,52.2
36.8,42.9
41.8,33.1
46.8,13.3
51.8,13.4
56.8,8.4
61.8,8.4
66.8,8.4
71.8,8.5
76.8,8.5
81.8,13.6
86.8,8.5
91.8,13.5
96.8,13.6
101.8,8.5
106.8,8.5
111.8,8.5
116.8,13.6
121.8,13.5
200,0
"Heat Flux",50
"Number of HRR Data Pairs",37
"sec,kw/m2"
0,30
3.3,73.1
8.3,127.4
13.3,128.5
18.3,121.2
23.3,106
28.3,92
33.3,83.2
38.3,74
43.3,55.2
48.3,26.7
53.3,22
58.3,17.5
63.3,12.6
68.3,12.7
73.3,12.7
78.3,12.7
83.3,12.7
88.3,12.7
93.3,12.7
98.3,17.6
103.3,12.8
108.3,12.7
113.3,12.7
118.3,12.8
123.3,12.8
128.3,12.8
133.3,12.7
138.3,12.7
143.3,12.7
148.3,12.8
153.3,12.7
158.3,7.8
163.3,12.7
168.3,12.8
173.3,17.7
270,0
"Ignition Data"
"Number of Pairs",6
"flux kw/m2,ignition time sec, peak hrr kw/m2"
25,64.1,64.5
25,62.2,75.2
35,28.2,104.7
35,30.8,95.6
50,6.7,128.5
50,10.1,151.9
"Flame Spread Parameter",0
"Min Surface Temp For Spread",0
"Effective Heat of Combustion",0
