"Material Description"
"Number of HRR Curves","03"
"Heat Flux",25
"Number of HRR Data Pairs",39
"sec,kw/m2"
0,30
4.6,85
9.6,103.8
14.6,62.8
19.6,34.2
24.6,15.5
29.6,15.7
34.6,15.7
39.6,25.5
44.6,44.9
49.6,73.9
54.6,78.4
59.6,87
64.6,96.8
69.6,110.8
74.6,119.9
79.6,133.5
84.6,165.7
89.6,175.4
94.6,145.3
99.6,117.1
104.6,90.3
109.6,81.7
114.6,68.1
119.6,63.4
124.6,53.9
129.6,54
134.6,54
139.6,54.1
144.6,44.4
149.6,35
154.6,39.9
159.6,35
164.6,30.1
169.6,35
174.6,30.3
179.6,25.4
184.6,30.3
189.6,25.3
"Heat Flux",35
"Number of HRR Data Pairs",38
"sec,kw/m2"
0,30
1.4,39.8
6.4,115.7
11.4,123.6
16.4,77.3
21.4,33.4
26.4,54.3
31.4,89.7
36.4,142.2
41.4,179.3
46.4,229.8
51.4,246.5
56.4,238.3
61.4,233
66.4,214.9
71.4,201.8
76.4,183.5
81.4,173.3
86.4,165.4
91.4,156.3
96.4,161.1
101.4,160.1
106.4,156.6
111.4,165.5
116.4,160.8
121.4,152.5
126.4,157.1
131.4,147.2
136.4,147.5
141.4,139.1
146.4,123.7
151.4,114.2
156.4,110
161.4,95.8
166.4,87
171.4,77
176.4,72.7
181.4,58
"Heat Flux",50
"Number of HRR Data Pairs",33
"sec,kw/m2"
0,30
1.2,41.9
6.2,127.3
11.2,89.2
16.2,58.2
21.2,85.3
26.2,169.4
31.2,228.2
36.2,259.4
41.2,253.5
46.2,250.7
51.2,232.3
56.2,224.3
61.2,213.8
66.2,209.3
71.2,201.2
76.2,201.3
81.2,195.3
86.2,191.7
91.2,196.2
96.2,181.6
101.2,168.7
106.2,160.2
111.2,159.8
116.2,151
121.2,151.4
126.2,141.8
131.2,128.8
136.2,105.1
141.2,91.5
146.2,77.7
151.2,63.5
156.2,49.4
"Ignition Data"
"Number of Pairs",6
"flux kw/m2,ignition time sec, peak hrr kw/m2"
25,30.4,175.4
25,24.5,243.7
35,13.6,246.5
35,15.8,252.6
50,8.8,259.4
50,8.5,246.9
"Flame Spread Parameter",0
"Min Surface Temp For Spread",0
"Effective Heat of Combustion",0
