s,C, C, m, Pa, 1 / m, 1 / m, kW, m, m, m ^ 2, m ^ 2,
Time,ULT_1,LLT_1,HGT_1,PRS_1,ULOD_1,LLOD_1,HRR_1,FLHGT_1,FBASE_1,FAREA_1,HVENT_1,
0,20,20,2.69973,0,0.000458753871498629,0.000458753871498629,1E-06,-2.03014695008155,0.3,2.25,1.52,
20,31.1729403515901,20.1793054621073,2.27339793613272,-0.0432842294000501,0.521304547786713,0.000458473106846213,18.7600001692772,-1.27187411432869,0.3,2.25,1.52,
40,57.8356300403963,21.9179977403247,1.66786414264026,-0.10464794396391,1.64098942279816,0.000455769884865731,75.0400006771088,-0.709223922957336,0.3,2.25,1.52,
60,106.327547711399,26.5862061816892,1.42257195059656,-0.307097018685028,3.58051252365112,0.000448667124146596,168.840001523495,-0.202738121633069,0.3,2.25,1.52,
80,177.928321108105,34.7326655203714,1.38799778093277,-0.605698270835441,6.26367425918579,0.000436788453953341,300.160002708435,0.270406959116673,0.3,2.25,1.52,
100,262.144599591638,47.3645330299078,1.38782226212929,-1.00181352527262,9.18067836761475,0.000419564399635419,469.00000423193,0.720211497210972,0.3,2.25,1.52,
120,342.544074158784,65.4769551223311,1.38140504278326,-1.48710479176055,11.9532299041748,0.000397110998164862,675.360006093979,1.15224995840533,0.3,2.25,1.52,
140,428.278388423663,85.0791453137421,1.3617891435239,-1.94374292542015,14.4278736114502,0.000375370378606021,919.240008294582,1.57005272096559,0.3,2.25,1.52,
160,504.507325146355,109.916027079352,1.34209373863665,-2.41862271954692,17.1685066223145,0.000351021270034835,8595.91372914556,6.77503916655103,0.3,2.25,1.52,
180,733.986497643327,449.429691002042,0.389396947898502,-5.61627551135711,3.67118382453918,1.17666351795197,2689.7628814394,3.50182564806864,0.3,2.25,1.52,
200,835.646169684794,567.945102777085,0.382671724574727,-5.91098249737694,3.24707674980164,0.898549735546112,2767.21762159065,3.56501391019238,0.3,2.25,1.52,
220,889.494423992791,637.444730445981,0.378105375891727,-6.02537610186306,3.15096735954285,0.810718715190887,2827.97278381002,3.61383959092517,0.3,2.25,1.52,
240,931.76971051552,689.840581618987,0.374395276907428,-6.08251837054267,3.10419917106628,0.758983790874481,2877.64233368358,3.65329075824584,0.3,2.25,1.52,
260,949.834682316007,773.290394315813,0.367141268226106,-5.73577413899933,8.63759422302246,1.8177102804184,2578.06885813763,3.40875175202632,0.3,2.25,1.52,
280,970.672522265577,803.313916720864,0.366564604808753,-5.75874752982401,8.975998878479,1.87178027629852,2569.16836734209,3.40123179249393,0.3,2.25,1.52,
300,985.636733562305,825.35395658122,0.366198969661122,-5.77578047506724,8.86170101165771,1.81097531318665,2563.38818473039,3.39633978343758,0.3,2.25,1.52,
320,999.742611662899,844.705045100808,0.365855957829493,-5.78914736600048,8.76957225799561,1.7606987953186,2558.24238153332,3.39197910417673,0.3,2.25,1.52,
340,1012.30831050618,861.557982657197,0.36555735095074,-5.80003189777961,8.68028354644775,1.716059923172,2553.54933494414,3.38799751098394,0.3,2.25,1.52,
360,1023.39361996886,876.248510452853,0.365298241028088,-5.80893403293315,8.602126121521,1.67809247970581,2549.35378477446,3.38443427633549,0.3,2.25,1.52,
380,1033.59783727864,887.604428844188,0.365062905464056,-5.81491081105951,8.53407382965088,1.64801323413849,2545.32682206056,3.38101091039672,0.3,2.25,1.52,
400,1042.50045789916,899.154930435129,0.364860438310265,-5.82123174869139,8.47113037109375,1.61890459060669,2541.92570997767,3.37811705485139,0.3,2.25,1.52,
420,1050.5926120267,909.590757803543,0.364678367387523,-5.82668089903381,8.41698837280273,1.59372162818909,2538.80190253212,3.37545709803733,0.3,2.25,1.52,
440,1057.95732769204,919.015875805784,0.364514440188198,-5.83139559013685,8.36836338043213,1.57137489318848,2535.96968008553,3.37304373123987,0.3,2.25,1.52,
460,1064.72723572801,927.629175264196,0.364365486814743,-5.83556616797585,8.3242244720459,1.55131483078003,2533.37747433903,3.3708334674018,0.3,2.25,1.52,
480,1070.95468178443,935.505122506604,0.364229251783253,-5.83921587833378,8.28401279449463,1.53323209285736,2530.95166395881,3.36876385240347,0.3,2.25,1.52,
500,1076.73020402194,942.773429962409,0.364104307972222,-5.84249557945291,8.24719619750977,1.51679790019989,2528.73421703773,3.36687096420312,0.3,2.25,1.52,
520,1079.88594612156,947.43898497755,0.364037271110505,-5.84475272531744,8.22187042236328,1.50615072250366,2527.28958314449,3.36563723969904,0.3,2.25,1.52,
540,1084.47811202969,953.191922282854,0.363938009390425,-5.84719401268489,8.19645690917969,1.49405574798584,2525.58524772252,3.36418118461502,0.3,2.25,1.52,
560,1088.92841769285,958.729929673921,0.363843279192289,-5.84950419189906,8.16920948028564,1.48197948932648,2523.90391964556,3.36274420748174,0.3,2.25,1.52,
580,1093.16840943619,963.808298550056,0.36375347269663,-5.8515078557809,8.14444160461426,1.47107923030853,2522.28545504915,3.36136041510105,0.3,2.25,1.52,
600,1097.19073912906,968.767418432991,0.363668929131763,-5.85348119505619,8.11864566802979,1.46014881134033,2520.73042419375,3.36003035683352,0.3,2.25,1.52,
620,1100.99518556186,973.450208762048,0.363589265341083,-5.85530253293421,8.09546375274658,1.45015478134155,2519.26053784405,3.35877267218726,0.3,2.25,1.52,
640,1104.53699321622,978.38548081875,0.363608299121549,-5.84363805592575,8.08950710296631,1.44172012805939,2528.15626733527,3.36637744305522,0.3,2.25,1.52,
660,1108.2160456795,980.884820930223,0.363439734626067,-5.85763188717383,8.05381965637207,1.43361568450928,2516.45723175354,3.35637284723812,0.3,2.25,1.52,
680,1111.45716644553,984.833521331162,0.363372862327188,-5.85909942469745,8.03248882293701,1.42493283748627,2515.19808968609,3.35529441202733,0.3,2.25,1.52,
700,1114.5469637264,988.604446249023,0.363309487446008,-5.86046735266065,8.01400756835938,1.41711246967316,2514.01139209577,3.35427772781422,0.3,2.25,1.52,
720,1117.49208407687,992.192270435479,0.363249288097472,-5.86173881560053,7.99658584594727,1.40974056720734,2512.87756077438,3.35330606690826,0.3,2.25,1.52,
740,1120.3071890406,995.614778996017,0.363192322688317,-5.86295835251208,7.9800181388855,1.40275764465332,2511.82989118887,3.35240801028237,0.3,2.25,1.52,
