"Material Description"
"Number of HRR Curves",4
"Heat Flux",35
"Number of HRR Data Pairs",404
"sec,kw/m2"
730.3,3.8
732.2,3.5
734.1,3.3
735.8,3.5
737.6,3.6
740.1,3.6
742.3,3.7
744.2,3.5
746.1,3.7
748.1,3.4
750,3.8
751.9,3.4
753.6,3.8
756,3.6
758.3,3.7
760.1,3.6
762.2,3.4
764.1,3.6
765.8,3.7
767.6,3.3
770.1,3.6
772.3,3.5
774.4,3.6
776.3,3.7
777.9,3.4
779.8,3.5
781.9,3.8
783.8,3.4
786,3.7
788.3,0
790.3,0
792.2,0
794.1,0
795.8,0
797.8,0
800.1,0
802.3,0
804.4,0
806.3,0
"Heat Flux",50
"Number of HRR Data Pairs",324
"sec,kw/m2"
0,62.3
4.5,56.2
9.2,37
12.9,20.3
16.7,15
20.4,13.5
24,12.4
27.9,12.9
32.8,12.2
37.5,11.6
41.2,11.9
44.8,12.4
48.4,11.9
52.1,12.2
55.9,12.3
59.8,11.8
64.5,11.2
69.2,11.4
72.9,11.4
76.5,11.8
80.3,11.3
84.2,11.1
87.9,12.3
92.5,12
97.3,11.3
101.1,12.2
104.6,12.5
108.4,12.8
112.3,12.7
116.1,12.1
119.6,12.1
124.4,12.7
129,12.4
132.7,11.3
136.5,10.4
140.4,10.9
144.2,10.3
147.7,9.9
152.5,9.6
157.1,9.1
160.9,8.8
164.8,8.7
168.6,8.9
172.1,8.4
175.9,8.4
179.7,8.3
184.5,8.2
189.2,8.3
192.9,8.8
196.7,8.8
200.2,8.1
204,7.5
207.8,7.2
212.5,6.7
217.2,6.9
221.5,6.7
224.8,6.8
228.4,6.8
232.1,7.2
235.9,7.8
239.7,7.2
244.5,6.2
249.2,6.4
252.9,5.8
256.5,6.1
260.2,6.5
264,6.1
267.8,5.9
273,5.8
277.3,5.9
281.1,6
284.6,6.5
288.4,6.2
292.2,6
296.1,5.9
299.8,6.3
304.4,6.2
309,5.5
312.7,5.3
316.5,5.4
320.6,5.6
324.2,5.6
327.9,5.4
332.6,6.3
337.3,6.3
340.9,6
344.6,5.4
348.4,5.4
352.3,5.6
356.1,5.3
359.8,5.6
364.4,5.7
369.6,5.5
372.7,5.6
376.5,5.5
380.3,5.5
384.2,5.7
387.9,5.3
392.5,5.6
397.3,5.4
400.9,5.6
404.7,5.8
408.6,5.8
412.3,5.7
416.1,5.7
420,5.3
424.3,5.2
429,5.1
432.8,5.1
436.7,5.7
440.4,6.1
444,6.3
447.7,7
452.4,7.5
457.1,8
460.9,8.2
464.8,8.9
468.6,9.8
472.1,10.5
475.9,10.5
479.8,10.3
484.5,9.9
489.2,9.6
492.9,9.1
496.7,8.7
500.2,8.3
504,7.9
507.9,7.8
512.6,7.4
517.3,7.1
521.5,6.8
524.8,7
528.4,7
532.1,6.6
535.9,6.7
539.8,7.3
544.5,7.8
549.2,8.2
552.9,9.3
556.5,9.7
560.3,9.6
564.2,9.6
567.9,9.9
572.5,9.6
577.3,9.9
580.9,10.2
584.6,10.3
588.4,10.1
592.3,10
596.1,9.6
599.6,9
604.4,8.6
609,8.4
612.8,8.6
616.7,7.8
620.9,7.7
624.2,7.8
627.9,7.5
632.5,7
637.1,7.1
640.9,7.2
644.6,6.8
648.4,6.8
652.3,7
656.1,6.6
659.6,7
664.4,7
669,6.7
672.7,6.7
676.5,6.8
680.4,6.6
684.2,6.2
687.7,6.4
692.4,6.7
697.1,6.6
700.9,6.4
704.8,6.7
708.6,6.2
712.1,6.4
715.9,6.5
720,6.5
724.4,6.6
729,6.4
732.8,6.6
736.7,6.5
740.4,6.4
744.2,6.3
747.7,6.8
752.4,6.6
757.1,6.4
760.9,6.1
764.8,6.2
768.6,6.3
772.3,6
775.9,5.9
779.7,5.9
784.5,5.7
789.2,5.8
792.9,6.1
796.7,6.2
800.4,6.2
804,5.8
807.8,6.2
812.6,5.9
817.3,5.8
821.5,5.7
824.7,5.9
828.6,6.1
832.3,5.9
836.1,6
839.6,5.6
844.3,6.2
849,6.1
852.8,6.5
856.7,6.3
860.4,6
864,5.9
867.8,5.8
872.5,5.9
877.1,6.2
880.9,6.1
884.8,6.3
888.6,6.1
892.1,5.8
895.9,5.9
899.8,6.6
904.4,6.6
909,7
912.9,7.4
916.7,7.1
920.9,6.8
924.2,6.5
927.7,7
932.4,7.1
937.2,7.7
941.1,7.4
944.8,7
948.6,6.1
952.1,6.2
955.9,6.2
959.7,5.8
964.5,6.2
969.2,6.3
972.9,6
976.7,6.1
980.2,6.1
984,5.8
987.9,6.1
992.6,5.8
997.3,5.8
1001.1,5.8
1004.6,6
1008.4,5.6
1012.2,5.9
1016.1,5.7
1019.6,5.8
1024.4,6
1029,6.1
1032.8,6
1036.7,6.2
1040.4,5.9
1044.2,6.2
1047.7,6
1052.5,5.7
1057.1,5.8
1060.9,5.6
1064.7,6
1068.6,5.7
1072.3,5.9
1075.9,5.6
1079.7,5.8
1084.5,5.8
1089.2,6
1092.9,6
1096.7,5.8
1100.2,5.5
1104,6.1
1107.9,6.2
1112.5,5.7
1117.2,5.6
1121.5,5.8
1124.6,6.1
1128.4,5.5
1132.3,5.8
1136.1,5.7
1139.8,6.1
1144.4,6
1149,5.4
1152.7,5.6
1156.5,5.8
1160.4,5.7
1164.2,5.7
1167.7,5.3
1172.5,5.5
1177.1,5.7
1180.9,5.4
1184.7,5.6
1188.6,5.2
1192.1,5.7
1195.9,6.2
1199.7,5.7
1204.5,5.7
1209.2,5.6
1212.9,5.6
1216.7,6
1220.2,5.7
1224,5.5
1227.9,5.6
1232.6,6
1237.3,5.5
1241.1,5.7
1244.6,5.8
1248.4,5.7
1252.2,5.4
1256.1,5.5
1259.8,5.3
1264.4,5.1
1269,4.9
1272.7,5.2
1276.5,0
1280.4,0
1284.2,0
1287.7,0
1292.4,0
"Heat Flux",60
"Number of HRR Data Pairs",359
"sec,kw/m2"
0,84.8
1.6,91.3
3.7,90.7
5.7,80.8
7.7,66.8
9.8,51.7
11.8,35.5
13.6,29
15.5,24.8
17.6,23.3
19.5,21.8
21.5,21.8
23.6,21.2
25.7,20.8
27.7,20.2
29.6,20.4
32.3,20
34.1,20.2
36.1,20
38.1,20.1
40.3,20
41.6,19.5
44.1,20.2
45.5,19.3
47.7,19.4
49.6,18.8
51.5,19.1
53.7,18.6
55.8,18.6
57.7,18.5
59.4,18.3
61.6,18.3
63.8,18.4
65.6,18.2
67.6,17.9
69.9,18.2
71.7,17.9
73.5,18.2
75.6,17.2
77.8,17.7
79.6,17.3
81.6,17.4
83.7,17.4
85.7,17.5
87.7,17.6
89.5,17.8
91.5,18.2
93.8,17.6
95.6,17.5
97.6,17.7
99.6,17.4
101.6,17.7
103.5,17.1
105.6,17.5
107.7,17.7
109.6,17.7
111.6,17.4
113.8,17.4
115.8,17
117.7,17
119.3,17.4
121.5,16.8
123.5,17.3
125.5,16.4
127.7,16.5
129.8,15.9
131.7,15.8
133.6,16.2
135.6,15.5
137.8,15.5
139.5,15.2
141.6,15.3
143.7,14.6
145.7,14.4
147.7,14.2
149.5,14.3
151.5,14.4
153.5,13.7
155.4,14.1
157.6,13.5
