"BRANZ Mat 3, 13 mm michelo angelo ceiling panel (FR)"
"Number of HRR Curves", 1
"Heat Flux",35
"Number of HRR Data Pairs",804
"sec,kw/m2"
776.90,23.85
778.78,23.39
780.96,22.64
782.53,22.08
784.40,22.95
786.28,23.14
788.15,23.74
790.03,22.74
792.21,22.65
793.78,21.87
796.67,22.09
799.40,22.87
802.53,22.74
804.40,22.59
805.34,22.14
806.90,21.98
808.78,22.48
810.65,22.56
812.53,21.97
814.71,21.44
816.28,21.51
818.15,21.94
820.03,22.73
821.90,22.20
823.78,22.27
826.63,22.00
829.40,21.90
831.28,22.64
833.15,22.21
835.03,22.06
837.21,21.91
838.78,21.06
840.65,21.60
842.53,21.71
844.40,21.86
846.28,21.19
848.46,21.13
850.03,21.83
851.90,21.67
853.78,21.79
856.67,21.69
859.71,21.05
861.28,21.16
863.15,22.08
865.03,21.90
866.90,21.00
868.78,20.94
870.65,20.53
872.84,20.65
874.40,19.81
876.28,19.24
878.15,18.76
880.03,19.23
881.90,19.77
884.09,19.35
886.67,19.39
889.40,19.09
891.28,18.91
893.15,19.52
895.34,19.23
896.90,19.07
898.78,18.70
901.90,18.69
903.78,19.16
904.40,19.20
906.59,19.24
908.15,18.85
910.03,18.86
911.90,18.96
913.78,19.14
916.90,19.25
919.40,19.27
921.28,18.51
923.46,18.19
925.03,19.32
927.21,19.32
928.78,18.82
930.96,18.99
932.53,18.97
934.71,19.59
936.28,19.24
938.46,19.24
940.03,18.98
942.21,18.91
943.78,18.93
946.63,19.47
949.40,19.32
951.59,19.33
953.15,19.23
955.34,19.01
956.90,18.10
959.09,19.18
960.65,18.71
962.53,18.04
964.40,18.24
966.28,17.56
968.46,18.27
970.03,18.89
971.90,18.82
973.78,18.13
976.63,18.23
979.40,17.96
981.28,18.12
983.15,19.20
985.03,18.77
987.21,18.17
988.78,18.42
990.65,18.20
992.53,19.02
994.40,18.89
996.28,18.55
998.15,18.93
1001.28,17.97
1003.15,18.07
1004.09,19.00
1006.90,18.71
1009.40,18.37
1011.28,18.55
1013.46,18.50
1015.03,18.17
1016.90,18.72
1018.78,19.07
1020.65,18.96
1022.53,18.14
1024.40,18.10
1026.28,19.03
1028.46,19.42
1030.03,19.28
1031.90,18.11
1033.78,18.09
1036.63,18.57
1039.40,19.13
1041.28,18.92
1043.15,18.71
1045.03,18.33
1047.21,17.76
