"PINEX - fibre insulation board, non FR"
"Number of HRR Curves", 1
"Heat Flux",35
"Number of HRR Data Pairs", 777
"sec,kw/m2"
781.88,26.86
782.50,26.36
785.36,26.42
788.13,26.17
790.00,26.67
791.88,26.45
793.75,26.04
795.63,25.94
797.50,26.63
799.38,25.25
801.25,25.68
803.44,25.73
805.00,25.35
806.88,25.42
808.75,24.75
810.63,24.59
812.50,24.65
815.36,24.70
818.13,24.62
820.00,24.76
821.88,25.44
823.75,25.28
825.63,25.13
827.50,25.16
829.38,24.64
831.25,24.54
833.13,24.70
835.31,25.03
836.88,25.33
838.75,25.70
840.63,25.22
842.50,25.50
845.36,25.79
848.13,25.41
850.00,25.41
851.88,25.39
853.75,25.20
855.63,24.97
857.50,25.35
859.38,25.40
861.25,25.31
863.13,25.54
865.00,25.39
867.19,25.62
868.75,24.56
870.63,24.69
872.50,24.73
875.39,24.72
878.44,24.77
881.25,24.68
882.19,24.88
883.75,24.62
885.63,24.60
887.34,24.27
889.38,24.01
891.25,23.88
893.13,24.16
895.00,24.56
896.72,24.66
898.75,24.28
900.63,24.07
902.50,24.56
905.39,24.71
908.13,24.64
910.00,23.83
911.88,23.98
913.59,23.92
915.63,24.15
917.50,24.39
919.22,23.78
921.25,23.87
923.13,23.84
925.00,24.07
926.88,23.86
928.59,23.94
930.63,24.19
932.50,24.06
935.39,23.91
938.12,23.98
940.00,24.04
941.72,23.84
943.75,24.11
945.62,24.56
947.34,24.37
949.37,25.06
951.25,24.84
953.12,24.81
955.00,24.62
956.72,24.54
958.75,25.32
960.62,24.68
962.50,25.51
965.39,25.28
968.12,25.33
969.84,25.28
971.87,25.53
973.75,25.99
975.62,25.60
977.34,26.37
980.63,27.10
981.56,27.21
983.13,26.83
985.00,26.67
986.88,26.18
988.59,27.28
990.63,27.17
992.50,27.15
995.36,27.27
997.97,27.18
1000.0,27.18
1001.88,27.36
1003.75,27.05
1005.63,27.39
1007.50,27.41
1009.69,27.62
1011.25,27.68
1013.13,27.59
1015.00,27.70
1016.88,27.68
1018.75,27.41
1020.63,28.60
1022.50,28.23
1025.36,28.35
1028.13,28.36
1030.00,28.30
1031.88,28.45
1033.75,27.52
1035.63,27.86
1037.81,27.47
1039.38,27.13
1041.25,27.60
1043.13,27.09
1045.00,26.33
1046.88,27.69
1048.75,27.10
1050.63,26.77
