s,C, C, m, Pa, 1 / m, 1 / m, kW, m, m, m ^ 2, m ^ 2,
Time,ULT_1,LLT_1,HGT_1,PRS_1,ULOD_1,LLOD_1,HRR_1,FLHGT_1,FBASE_1,FAREA_1,HVENT_1,
230,22.5757296085825,17.8899483994059,2.39976000522574,-0.118782143161628,0.000454426306532696,0.000461746327346191,0,-0.406216516528063,0.3,0.09,1.6,
240,22.5122602865252,17.8550784976699,2.39976000520497,-0.117361526224886,0.000454523891676217,0.00046180171193555,0,-0.406216516528063,0.3,0.09,1.6,
250,22.4490880453615,17.8222858272681,2.39976000517969,-0.11602559515677,0.000454621069366112,0.000461853807792068,0,-0.406216516528063,0.3,0.09,1.6,
260,22.3862626148787,17.7912650466294,2.39976000515063,-0.114761886162768,0.00045471775229089,0.000461903109680861,0,-0.406216516528063,0.3,0.09,1.6,
270,22.3238255026084,17.7617625513165,2.39976000511842,-0.113560045775112,0.000454813911346719,0.000461949966847897,0,-0.406216516528063,0.3,0.09,1.6,
280,22.2618111822074,17.7335673624111,2.39976000508358,-0.112411459580399,0.000454909430118278,0.000461994757642969,0,-0.406216516528063,0.3,0.09,1.6,
290,22.2002481200518,17.7065036762428,2.39976000504659,-0.111308948163168,0.000455004337709397,0.000462037773104385,0,-0.406216516528063,0.3,0.09,1.6,
300,22.1391596563722,17.6804247598499,2.39976000500782,-0.110246519119255,0.000455098517704755,0.000462079187855124,0,-0.406216516528063,0.3,0.09,1.6,
310,22.0785647635506,17.6552079397391,2.39976000496762,-0.109219162453383,0.000455191970104352,0.000462119322037324,0,-0.406216516528063,0.3,0.09,1.6,
320,22.0184786959329,17.6307504809292,2.39976000492626,-0.108222682542225,0.000455284636700526,0.000462158262962475,0,-0.406216516528063,0.3,0.09,1.6,
330,21.958913543116,17.6069661927776,2.39976000488399,-0.10725355953694,0.000455376604804769,0.000462196010630578,0,-0.406216516528063,0.3,0.09,1.6,
340,21.8998787074728,17.5837826292769,2.399760004841,-0.106308835074076,0.000455467816209421,0.000462232914287597,0,-0.406216516528063,0.3,0.09,1.6,
350,21.8413813086781,17.5611387767422,2.39976000479749,-0.10538601831205,0.000455558154499158,0.000462268944829702,0,-0.406216516528063,0.3,0.09,1.6,
360,21.7834265306953,17.5389831411798,2.39976000475358,-0.10448300703296,0.000455647706985474,0.000462304218672216,0,-0.406216516528063,0.3,0.09,1.6,
370,21.7260179166832,17.5172721647121,2.39976000470941,-0.103598023551792,0.000455736473668367,0.000462338735815138,0,-0.406216516528063,0.3,0.09,1.6,
380,21.6691576220249,17.4959689128892,2.39976000466508,-0.102729561191013,0.000455824396340176,0.00046237264177762,0,-0.406216516528063,0.3,0.09,1.6,
390,21.6128466286043,17.4750419851023,2.39976000462069,-0.101876339267848,0.000455911504104733,0.000462406023871154,0,-0.406216516528063,0.3,0.09,1.6,
400,21.5570849288625,17.4544646095621,2.3997600045763,-0.101037266156365,0.00045599791337736,0.000462438765680417,0,-0.406216516528063,0.3,0.09,1.6,
410,21.5018716802059,17.4342138904981,2.39976000453199,-0.100211409302032,0.00045608333311975,0.000462471012724563,0,-0.406216516528063,0.3,0.09,1.6,
420,21.4472053396736,17.4142701816138,2.3997600044878,-0.0993979683928919,0.000456168025266379,0.000462502794107422,0,-0.406216516528063,0.3,0.09,1.6,
430,21.3930837755382,17.3946165639489,2.39976000444378,-0.0985962549418976,0.000456251902505755,0.000462534080725163,0,-0.406216516528063,0.3,0.09,1.6,
440,21.339504365105,17.3752384103416,2.39976000439997,-0.0978056737944676,0.000456334964837879,0.000462564930785447,0,-0.406216516528063,0.3,0.09,1.6,
450,21.2864640744532,17.3561230219858,2.39976000435641,-0.0970257094056676,0.00045641721226275,0.000462595373392105,0,-0.406216516528063,0.3,0.09,1.6,
460,21.2339595304077,17.3372593244956,2.3997600043131,-0.0962559120025866,0.000456498702988029,0.000462625466752797,0,-0.406216516528063,0.3,0.09,1.6,
470,21.1819870781527,17.3186376139313,2.39976000427009,-0.0954958877436615,0.000456579320598394,0.000462655094452202,0,-0.406216516528063,0.3,0.09,1.6,
480,21.1305428320611,17.3002493439282,2.39976000422738,-0.094745290693171,0.000456659152405337,0.000462684460217133,0,-0.406216516528063,0.3,0.09,1.6,
490,21.0796227182217,17.2820869476516,2.39976000418499,-0.0940038143887164,0.000456738256616518,0.000462713389424607,0,-0.406216516528063,0.3,0.09,1.6,
500,21.0292225105657,17.2641436881196,2.39976000414293,-0.0932711864214175,0.000456816545920447,0.000462741998489946,0,-0.406216516528063,0.3,0.09,1.6,
510,20.9793378623858,17.2464135328389,2.39976000410122,-0.0925471631194686,0.000456894049420953,0.000462770229205489,0,-0.406216516528063,0.3,0.09,1.6,
520,20.9299643321216,17.2288910482529,2.39976000405985,-0.0918315254600182,0.000456970796221867,0.000462798227090389,0,-0.406216516528063,0.3,0.09,1.6,
530,20.8810974041671,17.2115713111639,2.39976000401884,-0.0911240749178625,0.000457046757219359,0.000462825817521662,0,-0.406216516528063,0.3,0.09,1.6,
540,20.8327325102643,17.1944498339438,2.39976000397818,-0.0904246310039877,0.000457122077932581,0.00046285314601846,0,-0.406216516528063,0.3,0.09,1.6,
550,20.7848650427,17.1775225017225,2.39976000393789,-0.0897330284356766,0.00045719652553089,0.000462880125269294,0,-0.406216516528063,0.3,0.09,1.6,
560,20.7374903696165,17.1607855192703,2.39976000389796,-0.089049114642427,0.000457270274637267,0.000462906842585653,0,-0.406216516528063,0.3,0.09,1.6,
570,20.690603845411,17.1442353661911,2.3997600038584,-0.0883727484915688,0.000457343267044052,0.000462933210656047,0,-0.406216516528063,0.3,0.09,1.6,
580,20.6442008205664,17.1278687590372,2.3997600038192,-0.0877037985215648,0.000457415531855077,0.000462959345895797,0,-0.406216516528063,0.3,0.09,1.6,
590,20.5982766496856,17.1116826193118,2.39976000378037,-0.0870421415272796,0.000457487069070339,0.000462985190097243,0,-0.406216516528063,0.3,0.09,1.6,
600,20.5528266979893,17.0956740462933,2.3997600037419,-0.0863876612047222,0.00045755787868984,0.000463010714156553,0,-0.406216516528063,0.3,0.09,1.6,
