"Material Description"
"Number of HRR Curves","03"
"Heat Flux",35
"Number of HRR Data Pairs",62
"sec,kw/m2"
0,30
1.9,48.7
3.9,52.2
6.4,46.9
8.4,37.6
10.4,30.1
12.5,24
14.4,20.9
17.3,18.4
19.3,16
21.3,14.7
23.3,13.7
25.3,13.5
27.7,12.1
29.7,12.1
31.7,11.7
33.7,11.7
35.7,11.9
38.1,11.4
40.9,12.1
44.8,12.5
47.2,12.7
49.2,12.1
51.2,12.6
53.2,12.3
55.2,12.1
57.6,13.3
61.9,13.6
63.9,14
65.9,14.1
69,14.3
71,13.6
74.9,14
77.4,12.9
79.4,12.9
81.4,13.3
83.4,13.6
85.9,14
88.4,14.1
90.4,14.1
92.7,13.7
94.7,12.5
96.7,12.5
99.2,12.3
101.1,12.7
103.1,12.1
105.1,11.8
107.1,13
109.6,13.8
111.6,13
113.6,11.7
115.9,10.8
117.8,10.7
120.3,10.5
122.3,9.9
124.3,10.4
126.3,9.7
128.3,10
130.8,9.9
132.8,9
134.9,8.6
136.8,8.3
"Heat Flux",50
"Number of HRR Data Pairs",38
"sec,kw/m2"
0,30
1.3,61.1
3.3,170.6
5.8,226.2
7.9,212.8
10.1,149.9
12.1,106
14.1,74.2
16.6,52.4
18.6,38
20.6,28.4
22.6,25
24.5,22.9
27,21.2
29,21.2
31,19.5
33.2,19
35.2,17.9
37.7,17.3
39.7,17.1
41.7,17.2
43.7,17.6
45.7,17.2
48.2,17.1
50.2,16.5
52.2,15.4
54.5,15.7
56.5,15.9
59,15.5
61,15.4
63,15.7
65,15.3
67,16.1
69.5,15.6
71.5,16
73.5,16.5
75.5,15.5
77.7,15.4
"Heat Flux",75
"Number of HRR Data Pairs",64
"sec,kw/m2"
0,30
1.8,163.8
4.3,234.8
6.3,256.8
8.3,223.1
10.4,153.2
12.4,110.4
14.8,78.4
16.8,57.5
18.8,42.7
20.8,35.2
22.8,30.4
25.2,28.1
27.2,26.4
29.1,25.2
31.4,24
33.3,23.1
35.8,22.7
37.8,21.3
39.8,21.8
41.8,20.5
43.8,21.6
46.2,19.7
48.2,19.5
50.2,18.3
52.2,17.9
54.4,17.6
56.8,18.2
58.8,18.6
60.8,18.3
62.8,17.7
64.8,17.9
67.2,17.9
69.2,16.7
71.2,15.8
73.2,15.5
75.2,14.9
77.9,15.1
79.9,14.8
81.9,14.5
83.9,14.1
86,12.8
88.4,11.6
90.4,11.3
92.4,10.6
94.4,9.2
96.4,7.8
99.2,7.5
101.2,5.9
103.2,5.6
105.2,3.8
107.2,3.5
109.6,2.3
111.6,3
113.6,2.2
115.6,1.1
117.6,.9
120.1,1.2
122.3,1.5
124.2,2
126.2,1.7
128.2,1.4
130.7,1.1
132.7,1.4
"Ignition Data"
"Number of Pairs",6
"flux kw/m2,ignition time sec, peak hrr kw/m2"
35,105.5,52.2
35,104.2,61.1
50,42.4,226.2
50,44.4,210.3
75,22.4,256.8
75,23.4,239.7
"Flame Spread Parameter",0
"Min Surface Temp For Spread",0
"Effective Heat of Combustion",0
